,0,1,2,3,4,5,6,7,8
230,2015.0,2.0,430898.05,8311.3,439209.35,145536.25,207118.0,352654.25,791863.6
231,2015.0,3.0,328140.25,11453.5,339593.75,145655.75,177723.75,323379.5,662973.25
232,2015.0,4.0,348427.0,11258.3,359685.3,152917.0,182188.75,335105.75,694791.05
233,2015.0,5.0,368708.5,9072.1,377780.6,143549.25,200472.75,344022.0,721802.6
234,2015.0,6.0,350627.85,11374.1,362001.95,136402.0,200724.0,337126.0,699127.95
235,2015.0,7.0,407804.4,9514.4,417318.8,143936.0,225413.0,369349.0,786667.8
236,2015.0,8.0,372991.5,10971.9,383963.4,124286.0,222057.5,346343.5,730306.9
237,2015.0,9.0,358601.5,13814.15,372415.65,134963.75,197209.5,332173.25,704588.9
238,2015.0,10.0,358423.45,10291.1,368714.55,142020.25,199233.9,341254.15,709968.7
239,2015.0,11.0,321407.7,9639.2,331046.9,131239.0,163990.75,295229.75,626276.65
240,2016.0,0.0,367208.8,8006.9,375215.7,126240.5,202942.25,329182.75,704398.45
241,2016.0,1.0,372744.3,10623.95,383368.25,146488.75,183864.0,330352.75,713721.0
242,2016.0,2.0,287231.25,9618.45,296849.7,159362.5,156651.0,316013.5,612863.2
243,2016.0,3.0,343574.1,10629.45,354203.55,144103.75,157869.75,301973.5,656177.05
244,2016.0,4.0,400765.95,10943.1,411709.05,162487.0,196213.25,358700.25,770409.3
245,2016.0,5.0,355622.9,9554.25,365177.15,140561.5,170268.25,310829.75,676006.9
246,2016.0,6.0,368696.85,10756.75,379453.6,132490.0,175948.2,308438.2,687891.8
247,2016.0,7.0,411366.85,11823.4,423190.25,153005.0,222737.5,375742.5,798932.75
248,2016.0,8.0,388958.5,11019.75,399978.25,145096.25,202632.9,347729.15,747707.4
249,2016.0,9.0,417311.05,10885.8,428196.85,166406.25,219971.4,386377.65,814574.5
250,2016.0,10.0,437050.2,11261.15,448311.35,177359.75,251893.1,429252.85,877564.2
251,2016.0,11.0,394217.15,10663.5,404880.65,164900.5,226755.1,391655.6,796536.25
252,2017.0,0.0,415422.7,12974.6,428397.3,162420.0,235822.25,398242.25,826639.55
253,2017.0,1.0,298974.95,9606.8,308581.75,155357.65,161441.75,316799.4,625381.15
254,2017.0,2.0,373548.95,12088.0,385636.95,191771.75,211115.0,402886.75,788523.7
255,2017.0,3.0,372040.9,9475.75,381516.65,157661.5,175576.9,333238.4,714755.05
256,2017.0,4.0,413021.3,11480.65,424501.95,169639.0,202075.75,371714.75,796216.7
257,2017.0,5.0,372272.1,10511.5,382783.6,145527.5,202721.25,348248.75,731032.35
258,2017.0,6.0,417090.75,10587.2,427677.95,154925.75,214200.3,369126.05,796804.0
259,2017.0,7.0,432479.15,10559.65,443038.8,159197.0,245621.25,404818.25,847857.05
260,2017.0,8.0,388670.05,9696.2,398366.25,128445.5,236972.75,365418.25,763784.5
261,2017.0,9.0,383385.0,14573.7,397958.7,144209.75,206593.75,350803.5,748762.2
262,2017.0,10.0,463690.9,12097.35,475788.25,177913.0,270524.5,448437.5,924225.75
263,2017.0,11.0,385492.05,11809.0,397301.05,152865.5,229044.4,381909.9,779210.95
264,2018.0,0.0,422831.95,9296.8,432128.75,150035.25,226564.5,376599.75,808728.5
265,2018.0,1.0,383089.55,9593.4,392682.95,157591.25,174785.25,332376.5,725059.45
266,2018.0,2.0,264460.05,9382.2,273842.25,163706.65,140317.0,304023.65,577865.9
267,2018.0,3.0,361108.3,11418.0,372526.3,164703.65,168306.0,333009.65,705535.95
268,2018.0,4.0,405586.8,11785.8,417372.6,168680.75,182751.0,351431.75,768804.35
269,2018.0,5.0,382964.0,10401.15,393365.15,147563.25,182212.75,329776.0,723141.15
270,2018.0,6.0,438164.55,16517.05,454681.6,167991.75,210894.5,378886.25,833567.85
271,2018.0,7.0,420573.25,20103.15,440676.4,162465.5,223496.5,385962.0,826638.4
272,2018.0,8.0,414281.5,17028.9,431310.4,146999.5,222954.25,369953.75,801264.15
273,2018.0,9.0,485823.55,18564.3,504387.85,173823.9,274342.0,448165.9,952553.75
274,2018.0,10.0,422792.65,17173.5,439966.15,152527.0,239837.75,392364.75,832330.9
275,2018.0,11.0,468905.85,13447.4,482353.25,147965.4,272939.5,420904.9,903258.15
